asset_type,symbol,name,yfinance_symbol,tradingview_symbol,tradingview_prefix_status,search_text,app_include,review_note,sector,industry
ETF,CRSH,Tidal Trust II YieldMax Short TSLA Option Income Strategy ETF,CRSH,NASDAQ:CRSH,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,crsh tidal trust ii yieldmax short tsla option income strategy etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CRTC,DBX ETF Trust Xtrackers US National Critical Technologies ETF,CRTC,NASDAQ:CRTC,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,crtc dbx etf trust xtrackers us national critical technologies etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CRWG,Leverage Shares 2X Long CRWV Daily ETF,CRWG,NASDAQ:CRWG,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,crwg leverage shares 2x long crwv daily etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CRWL,GraniteShares 2x Long CRWD Daily ETF,CRWL,NASDAQ:CRWL,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,crwl graniteshares 2x long crwd daily etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CRWU,ETF Opportunities Trust T-REX 2X Long CRWV Daily Target ETF,CRWU,NASDAQ:CRWU,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,crwu etf opportunities trust t-rex 2x long crwv daily target etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSB,VictoryShares US Small Cap High Div Volatility Wtd ETF,CSB,NASDAQ:CSB,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,csb victoryshares us small cap high div volatility wtd etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSCL,Direxion Daily CSCO Bull 2X ETF,CSCL,NASDAQ:CSCL,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cscl direxion daily csco bull 2x etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSCS,Direxion Daily CSCO Bear 1X ETF,CSCS,NASDAQ:CSCS,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,cscs direxion daily csco bear 1x etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSD,Invesco S&P Spin-Off ETF,CSD,NASDAQ:CSD,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,csd invesco s&p spin-off etf etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
ETF,CSEX,Investment Managers Series Trust II Tradr 2X Long CLS Daily ET,CSEX,NASDAQ:CSEX,PREFIX_UNVERIFIED_DEFAULT_NASDAQ,csex investment managers series trust ii tradr 2x long cls daily et etf,TRUE,정상 ETF 행으로 판단. 원본 ETF 파일 footer/비정상 행은 제거함. TradingView 거래소 prefix는 원본에 거래소 컬럼이 없어 기본 NASDAQ prefix로 임시 설정.,,
